39	526
86.1502456665	34.83495	135.47183
88.1843109131	34.83502	135.47217
88.9634780884	34.83507	135.47227
89.2956695557	34.83512	135.47234
89.4352493286	34.83517	135.47238
89.6938552856	34.83524	135.47242
90.1117477417	34.83527	135.47243
90.9176864624	34.83533	135.47243
91.5231018066	34.83541	135.47242
91.8447036743	34.83549	135.47235
91.9860305786	34.83552	135.47231
91.9636993408	34.83552	135.47229
92.250793457	34.83555	135.47224
95.8050765991	34.83572	135.47163
96.5261917114	34.83577	135.47155
96.6945419312	34.83579	135.47153
97.0768280029	34.83583	135.47152
97.9111938477	34.83592	135.47154
98.4077453613	34.83596	135.47158
98.8039932251	34.83599	135.47162
99.2141799927	34.83602	135.47169
101.699485779	34.83605	135.47201
102.14691925	34.83604	135.47212
102.608154297	34.83602	135.47222
103.740905762	34.83597	135.47237
104.929679871	34.83589	135.47253
104.883033752	34.8358	135.4727
105.825897217	34.83577	135.47282
106.354164124	34.83577	135.47288
107.378601074	34.83576	135.473
107.65877533	34.83577	135.47317
109.073646545	34.83578	135.47329
112.579795837	34.83586	135.47355
114.86265564	34.83593	135.47375
121.542648315	34.83617	135.47433
122.606941223	34.83622	135.47436
123.753723145	34.8363	135.47442
126.234741211	34.83657	135.47452
126.801956177	34.83664	135.47454
79	1061
126.801956177	34.83664	135.47454
128.339126587	34.83677	135.47458
128.812408447	34.8368	135.4746
129.577468872	34.83684	135.47462
130.109939575	34.83687	135.47466
130.392929077	34.83689	135.47475
130.412261963	34.83689	135.47479
130.556091309	34.83689	135.47484
130.5365448	34.83687	135.47488
128.989578247	34.83672	135.47502
128.155471802	34.83667	135.47509
127.83770752	34.83665	135.47512
127.54536438	34.83664	135.47518
127.278656006	34.83664	135.47525
127.138092041	34.83666	135.47534
127.596618652	34.83671	135.47544
129.853118896	34.83681	135.47556
130.701171875	34.83685	135.47561
131.274414062	34.8369	135.47564
131.922546387	34.83698	135.47568
132.470001221	34.83704	135.4757
133.556655884	34.83712	135.4757
135.192947388	34.83722	135.47569
140.489181519	34.8375	135.47559
141.617889404	34.83772	135.47548
145.831222534	34.83802	135.47535
147.587203979	34.83817	135.47533
148.171890259	34.83827	135.47533
148.482254028	34.83838	135.47535
148.628112793	34.83842	135.47536
149.097717285	34.83845	135.47538
148.938766479	34.83847	135.47541
149.268859863	34.8385	135.47545
149.137588501	34.83851	135.47551
150.728134155	34.83852	135.4756
150.922164917	34.8385	135.47566
150.978652954	34.83845	135.47578
150.426177979	34.83839	135.47589
148.891204834	34.83829	135.47603
147.046234131	34.83821	135.4761
146.06288147	34.83817	135.47612
139.083236694	34.83786	135.47628
138.154693604	34.83782	135.4763
136.610092163	34.83777	135.47636
135.398422241	34.83774	135.47642
134.370986938	34.83772	135.47648
133.953125	34.83772	135.47652
133.200393677	34.83772	135.47659
132.910583496	34.83775	135.47667
133.082336426	34.83777	135.47669
133.498748779	34.83782	135.47674
134.910812378	34.8379	135.47676
138.953323364	34.83809	135.47678
144.891159058	34.83831	135.47678
163.197937012	34.83877	135.47679
165.575134277	34.83891	135.47678
166.205276489	34.83901	135.47676
166.62046814	34.83906	135.47671
169.649139404	34.83924	135.47647
181.447036743	34.83949	135.476
178.699371338	34.83954	135.47584
180.497650146	34.83955	135.47578
182.66645813	34.83956	135.47572
184.568786621	34.83956	135.47566
184.963104248	34.83955	135.47561
184.933517456	34.83952	135.47555
186.532363892	34.8395	135.47548
185.518676758	34.83927	135.47511
180.963180542	34.83907	135.47477
176.75227356	34.83878	135.47425
173.475479126	34.83862	135.47375
174.127792358	34.8386	135.47363
175.769943237	34.8386	135.47354
177.005554199	34.83861	135.47351
180.529663086	34.83863	135.47344
183.863418579	34.83874	135.47318
187.173538208	34.83891	135.47287
189.782897949	34.83898	135.4728
190.008468628	34.83905	135.47277
206	2628
190.008468628	34.83905	135.47277
190.095428467	34.83906	135.47277
189.532440186	34.83914	135.47279
188.093170166	34.83916	135.47289
187.367401123	34.83911	135.473
186.483703613	34.83901	135.47308
185.709213257	34.83895	135.47313
185.169830322	34.8389	135.4732
185.011352539	34.83887	135.47326
184.323150635	34.83881	135.47339
182.675888062	34.83879	135.47349
181.078384399	34.83879	135.47359
180.305145264	34.83881	135.4737
180.675994873	34.83886	135.47384
182.378051758	34.83894	135.47402
184.858703613	34.83903	135.47417
189.821868896	34.83919	135.47439
202.646133423	34.83955	135.47483
211.315383911	34.83988	135.47522
213.373443604	34.83997	135.47527
215.584594727	34.84003	135.47531
215.845611572	34.84005	135.47536
215.988037109	34.84006	135.47539
210.97694397	34.84005	135.47566
210.826766968	34.84006	135.4757
210.814651489	34.8401	135.47579
211.439483643	34.84014	135.47583
212.455200195	34.84019	135.47586
220.505050659	34.8407	135.47603
219.684387207	34.84076	135.47606
217.51133728	34.84078	135.4761
211.222564697	34.84083	135.47622
209.313095093	34.84086	135.47626
206.888076782	34.8409	135.47631
205.963226318	34.84095	135.47633
205.816452026	34.84101	135.47633
207.240005493	34.84103	135.4763
226.630752563	34.8415	135.47587
227.900741577	34.84153	135.47585
228.96105957	34.84158	135.47584
229.625518799	34.84163	135.47583
240.524017334	34.84213	135.47579
240.342132568	34.84217	135.47579
236.396697998	34.84229	135.47584
236.190567017	34.84239	135.47585
238.61869812	34.84315	135.47588
236.519485474	34.84338	135.47587
239.845336914	34.84362	135.47585
243.090133667	34.84374	135.47583
243.784164429	34.84387	135.4758
246.214111328	34.84439	135.47598
247.816696167	34.84445	135.47601
248.395370483	34.84449	135.47604
248.38520813	34.8445	135.47605
245.456298828	34.8446	135.47625
245.734863281	34.84464	135.47629
245.20715332	34.84469	135.47633
244.736373901	34.84474	135.47634
245.702972412	34.84485	135.47634
248.200836182	34.84492	135.47631
251.761932373	34.84506	135.47625
246.325515747	34.84525	135.47617
245.038070679	34.84538	135.47611
244.93598938	34.84549	135.4761
244.765716553	34.84553	135.47611
244.573745728	34.84556	135.47613
244.915008545	34.84568	135.47629
245.397079468	34.84574	135.47635
245.405731201	34.84576	135.47636
245.125701904	34.84586	135.47637
245.168075562	34.84592	135.47638
245.543670654	34.84597	135.47641
245.526000977	34.84599	135.47642
246.234268188	34.84609	135.47654
245.763900757	34.84613	135.47658
244.829711914	34.84619	135.47659
244.575592041	34.84624	135.47659
243.555297852	34.84642	135.47655
242.921188354	34.84649	135.47655
242.758209229	34.84652	135.47656
243.247253418	34.84655	135.47661
243.59362793	34.84658	135.47667
249.591308594	34.84668	135.47703
250.33605957	34.8467	135.47709
249.083770752	34.84674	135.47712
246.520889282	34.8468	135.47713
246.539321899	34.84683	135.47713
246.096603394	34.84688	135.47711
245.210021973	34.847	135.47705
245.004165649	34.84703	135.47704
244.849731445	34.84707	135.47703
245.365356445	34.84714	135.47705
247.860168457	34.84726	135.47711
248.738006592	34.84731	135.47712
248.296066284	34.84735	135.47711
248.761260986	34.8474	135.47709
248.250686646	34.84743	135.47706
247.267532349	34.84747	135.47702
244.643325806	34.84749	135.47696
244.377227783	34.8475	135.47694
243.804031372	34.8475	135.47688
243.618850708	34.84747	135.47681
242.800735474	34.84734	135.47656
242.85093689	34.84735	135.4765
240.883346558	34.84764	135.47631
241.041885376	34.84766	135.4763
241.19909668	34.84768	135.47627
241.095062256	34.84771	135.4762
241.254638672	34.84772	135.47614
242.16607666	34.84771	135.47612
